Date,New Cases,Fully Vaccinated / 100
2020-08-27,45964.0,
2020-08-28,46510.0,
2020-08-29,44208.0,
2020-08-30,34802.0,
2020-08-31,32701.0,
2020-09-01,42813.0,
2020-09-02,40690.0,
2020-09-03,44334.0,
2020-09-04,50671.0,
2020-09-05,43386.0,
2020-09-06,30977.0,
2020-09-07,23840.0,
2020-09-08,25626.0,
2020-09-09,34600.0,
2020-09-10,35939.0,
2020-09-11,47967.0,
2020-09-12,41694.0,
2020-09-13,34442.0,
2020-09-14,33248.0,
2020-09-15,39462.0,
2020-09-16,38906.0,
2020-09-17,45202.0,
2020-09-18,49143.0,
2020-09-19,42579.0,
2020-09-20,38877.0,
2020-09-21,50723.0,
2020-09-22,40071.0,
2020-09-23,38911.0,
2020-09-24,47369.0,
2020-09-25,48367.0,
2020-09-26,44931.0,
2020-09-27,38062.0,
2020-09-28,32667.0,
2020-09-29,43564.0,
2020-09-30,39100.0,
2020-10-01,45978.0,
2020-10-02,55146.0,
2020-10-03,49481.0,
2020-10-04,35543.0,
2020-10-05,38315.0,
2020-10-06,45383.0,
2020-10-07,51127.0,
2020-10-08,59024.0,
2020-10-09,56676.0,
2020-10-10,55489.0,
2020-10-11,46665.0,
2020-10-12,41577.0,
2020-10-13,51565.0,
2020-10-14,59294.0,
2020-10-15,65059.0,
2020-10-16,69130.0,
2020-10-17,57307.0,
2020-10-18,50808.0,
2020-10-19,67076.0,
2020-10-20,61701.0,
2020-10-21,63154.0,
2020-10-22,76205.0,
2020-10-23,82526.0,
2020-10-24,83288.0,
2020-10-25,62312.0,
2020-10-26,66712.0,
2020-10-27,77021.0,
2020-10-28,79322.0,
2020-10-29,90981.0,
2020-10-30,100072.0,
2020-10-31,90347.0,
2020-11-01,105212.0,
2020-11-02,84058.0,
2020-11-03,127745.0,
2020-11-04,104110.0,
2020-11-05,129884.0,
2020-11-06,127877.0,
2020-11-07,131308.0,
2020-11-08,114764.0,
2020-11-09,119320.0,
2020-11-10,140022.0,
2020-11-11,148122.0,
2020-11-12,162955.0,
2020-11-13,181030.0,
2020-11-14,171056.0,
2020-11-15,137019.0,
2020-11-16,160787.0,
2020-11-17,163779.0,
2020-11-18,173522.0,
2020-11-19,191723.0,
2020-11-20,201188.0,
2020-11-21,180868.0,
2020-11-22,146220.0,
2020-11-23,173177.0,
2020-11-24,177329.0,
2020-11-25,184645.0,
2020-11-26,116217.0,
2020-11-27,204936.0,
2020-11-28,157624.0,
2020-11-29,140405.0,
2020-11-30,156738.0,
2020-12-01,193839.0,
2020-12-02,204145.0,
2020-12-03,224508.0,
2020-12-04,234706.0,
2020-12-05,220717.0,
2020-12-06,178590.0,
2020-12-07,191544.0,
2020-12-08,230524.0,
2020-12-09,221536.0,
2020-12-10,234254.0,
2020-12-11,240721.0,
2020-12-12,220046.0,
2020-12-13,186879.0,
2020-12-14,201947.0,
2020-12-15,221456.0,
2020-12-16,240432.0,
2020-12-17,237533.0,
2020-12-18,248482.0,
2020-12-19,201145.0,
2020-12-20,185305.0,
2020-12-21,191272.0,
2020-12-22,201225.0,
2020-12-23,225425.0,
2020-12-24,205260.0,
2020-12-25,107985.0,
2020-12-26,218493.0,
2020-12-27,154476.0,
2020-12-28,167961.0,
2020-12-29,201234.0,
2020-12-30,221748.0,
2020-12-31,258801.0,
2021-01-01,164678.0,
2021-01-02,296463.0,
2021-01-03,203061.0,
2021-01-04,182654.0,
2021-01-05,231224.0,
2021-01-06,256327.0,
2021-01-07,288658.0,
2021-01-08,303008.0,
2021-01-09,259101.0,
2021-01-10,212699.0,
2021-01-11,212028.0,
2021-01-12,218413.0,
2021-01-13,229492.0,
2021-01-14,238627.0,0.4
2021-01-15,246278.0,0.48
2021-01-16,208092.0,
2021-01-17,176354.0,
2021-01-18,140751.0,
2021-01-19,165416.0,0.6
2021-01-20,185296.0,0.64
2021-01-21,192001.0,0.71
2021-01-22,189353.0,0.82
2021-01-23,174231.0,0.9
2021-01-24,137594.0,0.96
2021-01-25,142902.0,0.99
2021-01-26,144352.0,1.04
2021-01-27,155297.0,1.13
2021-01-28,166576.0,1.27
2021-01-29,166764.0,1.42
2021-01-30,144715.0,1.56
2021-01-31,115156.0,1.68
2021-02-01,129608.0,1.76
2021-02-02,114229.0,1.8
2021-02-03,123070.0,1.91
2021-02-04,123939.0,2.06
2021-02-05,131295.0,2.23
2021-02-06,110742.0,2.47
2021-02-07,91491.0,2.72
2021-02-08,85922.0,2.83
2021-02-09,94189.0,2.93
2021-02-10,95868.0,3.11
2021-02-11,106133.0,3.33
2021-02-12,99810.0,3.59
2021-02-13,88591.0,3.89
2021-02-14,66316.0,4.19
2021-02-15,54460.0,
2021-02-16,59161.0,4.46
2021-02-17,70042.0,4.6
2021-02-18,71296.0,4.81
2021-02-19,78135.0,5.07
2021-02-20,73125.0,5.32
2021-02-21,57757.0,5.61
2021-02-22,55147.0,5.78
2021-02-23,71917.0,5.91
2021-02-24,75008.0,6.13
2021-02-25,77990.0,6.41
2021-02-26,77681.0,6.72
2021-02-27,65737.0,7.05
2021-02-28,51994.0,7.37
2021-03-01,55421.0,7.57
2021-03-02,56964.0,7.78
2021-03-03,67151.0,8.02
2021-03-04,68252.0,8.26
2021-03-05,66925.0,8.53
2021-03-06,58844.0,8.85
2021-03-07,42025.0,9.12
2021-03-08,44654.0,9.36
2021-03-09,55962.0,9.54
2021-03-10,58172.0,9.78
2021-03-11,62775.0,10.07
2021-03-12,61606.0,10.41
2021-03-13,53559.0,10.98
2021-03-14,38698.0,11.14
2021-03-15,55241.0,11.4
2021-03-16,54317.0,11.61
2021-03-17,59394.0,11.89
2021-03-18,60352.0,12.19
2021-03-19,61997.0,12.47
2021-03-20,56630.0,12.8
2021-03-21,34608.0,13.12
2021-03-22,50109.0,13.35
2021-03-23,53394.0,13.54
2021-03-24,86772.0,13.79
2021-03-25,67857.0,14.1
2021-03-26,77464.0,14.48
2021-03-27,63828.0,14.91
2021-03-28,43631.0,15.34
2021-03-29,68329.0,15.64
2021-03-30,61214.0,15.88
2021-03-31,66833.0,16.24
2021-04-01,79159.0,16.68
2021-04-02,70906.0,17.24
2021-04-03,63754.0,17.8
2021-04-04,36171.0,18.26
2021-04-05,74835.0,18.55
2021-04-06,60895.0,18.74
2021-04-07,75003.0,19.15
2021-04-08,80111.0,19.68
2021-04-09,84188.0,20.28
2021-04-10,68648.0,21.02
2021-04-11,46069.0,21.6
2021-04-12,68241.0,22.02
2021-04-13,78055.0,22.4
2021-04-14,75619.0,22.8
2021-04-15,73969.0,23.34
2021-04-16,80231.0,23.97
2021-04-17,53345.0,24.52
2021-04-18,42573.0,25.05
2021-04-19,67148.0,25.38
2021-04-20,60752.0,25.64
2021-04-21,63792.0,26.04
2021-04-22,66480.0,26.54
2021-04-23,63083.0,27.11
2021-04-24,53637.0,27.68
2021-04-25,32980.0,28.18
2021-04-26,46471.0,28.51
2021-04-27,50450.0,28.77
2021-04-28,55256.0,29.15
2021-04-29,58499.0,29.63
2021-04-30,58090.0,30.15
2021-05-01,46233.0,30.75
2021-05-02,29746.0,31.15
2021-05-03,49536.0,31.38
2021-05-04,40085.0,31.57
2021-05-05,45226.0,31.92
2021-05-06,47778.0,32.39
2021-05-07,47613.0,32.97
2021-05-08,34242.0,33.49
2021-05-09,21870.0,33.97
2021-05-10,35810.0,34.35
2021-05-11,33594.0,34.66
2021-05-12,35913.0,34.98
